time,age,sex,education,relevant_ed,location,remoteness,company_type,experience,contract,salary,contentment,happiness,languages,position,other_tech,sci_fi
2016.09.09. 10:20:05,20-25,Nő,Gimnázium,Nem,Vidék,Bejárós,Nemzetközi cég,2,Megbízási szerződés,"130 000,00 Ft",4,5,"PHP, C#, C++",Junior developer,,Star Wars
2016.09.09. 10:21:31,20-25,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"400 000,00 Ft",3,3,Javascript,Senior Web developer,,Star Wars
2016.09.09. 10:22:51,25-30,Férfi,Főiskola,Igen,Vidék,Mindkettő,Kis- és középvállalkozás,5,Teljes munkaidős - ideiglenes,"240 000,00 Ft",4,4,"Javascript, C#",szoftverfejlesztő,"LESS, SASS",Star Wars
2016.09.09. 10:22:55,20-25,Férfi,Főiskola,Igen,Vidék,Bejárós,Kis- és középvállalkozás,0,Teljes munkaidős - állandó,"130 000,00 Ft",4,4,"PHP, Javascript",junior fejlesztő,"mysql, less, yii2",He?
2016.09.09. 10:25:24,30-35,Férfi,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,8,Teljes munkaidős - állandó,"500 000,00 Ft",3,3,C++,lead,,Star Trek
2016.09.09. 10:26:16,20-25,Férfi,Egyetem,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,3,Részmunkaidő,"320 000,00 Ft",3,5,"Javascript, Python",Head of Dev,"Angular, NodeJS, Mongo, Solr",Star Wars
2016.09.09. 10:26:30,25-30,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"245 000,00 Ft",4,2,html5,sitebuilder,"html, css, jquery, photoshop",Star Wars
2016.09.09. 10:26:33,30-35,Férfi,Szakiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"225 000,00 Ft",3,4,"Javascript, CSS3",frontend fejlesztő,LESS,Star Trek
2016.09.09. 10:28:03,30-35,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"336 000,00 Ft",4,4,"PHP, Javascript, C#, Java",Backend fejlesztő,"Symfony, Angular 2, Bash, MySQL, SASS",Star Trek
2016.09.09. 10:29:21,30-35,Férfi,Főiskola,Nem,Vidék,Távmunka,Nemzetközi cég,7,Teljes munkaidős - állandó,"850 000,00 Ft",4,4,Javascript,Frontend dev,"Css3, html5, react, anguar, Stylus, sass, less, drupal, illustrator, indesign, photoshop...",Star Trek
2016.09.09. 10:29:38,20-25,Férfi,Főiskola,Igen,Vidék,Bejárós,Nemzetközi cég,1,Teljes munkaidős - állandó,"183 000,00 Ft",4,4,Javascript,Frontend fejlesztő,"Angular, LESS, SASS,",Star Wars
2016.09.09. 10:29:57,20-25,Férfi,Szakközépiskola,Igen,Vidék,Távmunka,Kis- és középvállalkozás,1,Szabadúszó,"150 000,00 Ft",4,2,Java,Junior,"JavaScript,PHP,CSS,XML,Codeigniter,Angular,Postgress,MySql",Star Wars
2016.09.09. 10:31:53,20-25,Férfi,Főiskola,Nem,Budapest,Távmunka,Kis- és középvállalkozás,1,Teljes munkaidős - állandó,"133 000,00 Ft",2,3,"PHP, Javascript",Frontend fejlesztő,"SASS,MySQL,Git",Star Trek
2016.09.09. 10:33:21,25-30,Férfi,Egyetem,Igen,Budapest,Távmunka,Kis- és középvállalkozás,6,Szabadúszó,"295 000,00 Ft",4,3,"PHP, Javascript",Full Stack Developer,"LESS, SASS, Smarty, MongoDB, Yii, Zend",Star Wars
2016.09.09. 10:33:24,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"430 000,00 Ft",5,5,"C++, Java, Swift, Python",Software Engineer,"Android, iOS",He?
2016.09.09. 10:33:49,40+,Férfi,Szakiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,7,Teljes munkaidős - állandó,"270 000,00 Ft",3,2,"PHP, Javascript, C++, Assembly, Pascal, Basic, GML, HTML, CSS",Hydrid Designer Developer :-),"MySQL, jQuery",Star Wars
2016.09.09. 10:33:54,20-25,Férfi,Szakközépiskola,Nem,Vidék,Mindkettő,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"248 000,00 Ft",3,4,"PHP, Javascript, C#, Java",Backend fejlesztő,"Laravel, Angular",Star Wars
2016.09.09. 10:35:43,20-25,Nő,Egyetem,Igen,Vidék,Bejárós,Kis- és középvállalkozás,3,Diák,"94 000,00 Ft",1,3,"PHP, Javascript",junior webfejleszto,"Java, python, c, c++",Star Trek
2016.09.09. 10:36:08,20-25,Férfi,Gimnázium,Igen,Vidék,Bejárós,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"100 000,00 Ft",3,4,"Javascript, C#",Junior Fullstack,"jQuery, Bootstrap",Star Wars
2016.09.09. 10:36:27,25-30,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"400 000,00 Ft",3,3,"PHP, Javascript",Frontend fejlesztő,"Laravel, Angular, React, LESS, SASS",He?
2016.09.09. 10:37:18,25-30,Férfi,Szakközépiskola,Nem,Külföld,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"550 000,00 Ft",3,4,"PHP, Javascript",Full stack developer,"Laravel, Vue.js, LESS, SASS, Bash, MySQL, SQLite, jQuery, Bootstrap, Bulma.io, Socket.io",Star Wars
2016.09.09. 10:37:10,20-25,Férfi,Szakközépiskola,Nem,Vidék,Távmunka,Kis- és középvállalkozás,2,Szabadúszó,"250 000,00 Ft",4,4,"Javascript, C#, Java, Python, Go","Frontend fejlesztő, webdesigner","Sass, heroku, firebase, android, mysql, git, j2ee, bootstrap, foundation, css3, html5, apache server, wordpress, bash, mvc, angularjs, angular 2, react",Star Wars
2016.09.09. 10:38:49,25-30,Férfi,Szakiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,6,Teljes munkaidős - állandó,"280 000,00 Ft",3,3,"PHP, Javascript, Java",Frontend fejlesztő,"Laravel, Less, Socket.io, Redis",He?
2016.09.09. 10:39:05,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"350 000,00 Ft",4,4,C#,Fejlesztő,"SQL Server, HTML, CSS, JQuery",Star Wars
2016.09.09. 10:39:06,35-40,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,15,Szabadúszó,"350 000,00 Ft",3,4,PHP,Frontend fejlesztő,"LESS, SASS",Star Trek
